iter	Logloss
143	0.1931652399
144	0.1921165298
145	0.1899642368
146	0.1885966637
147	0.1876716591
148	0.1858640145
149	0.184865288
150	0.1842967918
151	0.1835247329
152	0.1819854657
153	0.1807696637
154	0.1799911827
155	0.1791576665
156	0.1780405237
157	0.1764346243
158	0.1752900988
159	0.1747186236
160	0.1728588583
161	0.1717105913
162	0.1701226113
163	0.1689143814
164	0.167965161
165	0.1666320364
166	0.1655079968
167	0.164695803
168	0.1640863698
169	0.1624682761
170	0.1610074169
171	0.1604017121
172	0.1593032723
173	0.1577754085
174	0.1565774294
175	0.1556158236
176	0.1544206309
177	0.1531144255
178	0.1523430529
179	0.1508195861
180	0.1496986819
181	0.1488437917
182	0.1478826965
183	0.1466353707
184	0.1456916532
185	0.1440775971
186	0.143307782
187	0.1422628758
188	0.1407765987
189	0.1397244016
190	0.1388014308
191	0.1373695481
192	0.1362965001
193	0.135351564
194	0.134022568
195	0.1330553881
196	0.132102864
197	0.1311117144
198	0.1301449241
199	0.1292173384
200	0.1286244175
201	0.1276989403
202	0.1267932919
203	0.1257999612
204	0.1252688059
205	0.1242531248
206	0.1238269745
207	0.1226753387
208	0.1222918637
209	0.1216749624
210	0.1209922638
211	0.1203814038
212	0.119690856
213	0.1187590233
214	0.1178477201
215	0.1168018576
216	0.1162385844
217	0.1155563278
218	0.1151181011
219	0.114368806
220	0.1138796204
221	0.1132481348
222	0.1125871113
223	0.1119490683
224	0.1115900598
225	0.1110765043
226	0.110370673
227	0.109563836
228	0.1087710888
229	0.1082255885
230	0.1076243524
231	0.1068455218
232	0.1061556134
233	0.1055625016
234	0.1047049263
235	0.1043821066
236	0.1037803614
237	0.102976146
238	0.1023496057
239	0.1018655687
240	0.1014625059
241	0.1008205958
242	0.0999876582
243	0.09913662395
244	0.09850690067
245	0.09789273797
246	0.0970654387
247	0.09632037845
248	0.09584203252
249	0.09545607089
250	0.09496270284
251	0.09437390265
252	0.09366468517
253	0.09310873216
254	0.09272130082
255	0.09215905334
256	0.09172441641
257	0.09092888939
258	0.09042901729
259	0.08958329644
260	0.08896709826
261	0.08828308069
262	0.08765703916
263	0.08720543169
264	0.08658463868
265	0.08612222364
266	0.08573525364
267	0.08521794821
268	0.08460761589
269	0.0843318832
270	0.08359367352
271	0.08302532794
272	0.08253565772
273	0.08212510086
274	0.081800723
275	0.08151738399
276	0.08102554766
277	0.08051355399
278	0.08016179223
279	0.07955482387
280	0.07900304559
281	0.07869775681
282	0.07837566619
283	0.07775134484
284	0.07729821295
285	0.07702699196
286	0.07647931077
287	0.07604092132
288	0.07576650808
289	0.07531614527
290	0.07501214709
291	0.07437956003
292	0.074028711
293	0.07365490428
294	0.07332291021
295	0.07278444057
296	0.07214387805
297	0.07176589512
298	0.07119100138
299	0.07069467137
300	0.07012853109
301	0.06978406019
302	0.06939689749
303	0.06916239408
304	0.06896791257
305	0.0685282876
306	0.0679436306
307	0.06766321868
308	0.06722174514
309	0.06684073306
310	0.06642412906
311	0.06616220051
312	0.06580143535
313	0.06557358023
314	0.06535036687
315	0.06500198611
316	0.0646937158
317	0.06432239138
318	0.063842004
319	0.06364020591
320	0.06313854109
321	0.06276042615
322	0.06245551625
323	0.06200428751
324	0.06162878696
325	0.06128939265
326	0.06099084214
327	0.06071153739
328	0.06040975306
329	0.06005558506
330	0.05979469393
331	0.05958198418
332	0.05924612527
333	0.05892215766
334	0.05866501053
335	0.05837606114
336	0.05829173858
337	0.05809865755
338	0.05785717115
339	0.05766442335
340	0.05734208605
341	0.05688109856
342	0.05652608103
343	0.05620300384
344	0.05602679964
345	0.05570427226
346	0.0555699275
347	0.05540035909
348	0.05513441999
349	0.05489016332
350	0.05465876864
351	0.05432072178
352	0.05406588405
353	0.05355717138
354	0.05328438748
355	0.05290866362
356	0.05266681359
357	0.05248791278
358	0.05220463435
359	0.05196248739
360	0.05169261499
361	0.05142979768
362	0.05110512045
363	0.05080099102
364	0.0505737488
365	0.05031209556
366	0.05013763003
367	0.04982628524
368	0.04961688223
369	0.0494880659
370	0.04925224526
371	0.04904735503
372	0.04882315293
373	0.04867275982
374	0.04838436977
375	0.04815031018
376	0.0479882905
377	0.04772286806
378	0.04757387874
379	0.04729471302
380	0.04709664208
381	0.04680610442
382	0.0466616242
383	0.0464183122
384	0.04624439498
385	0.04598832344
386	0.04579032332
387	0.04565668835
388	0.04542663534
389	0.04523130819
390	0.04496496685
391	0.04460169962
392	0.04436720953
393	0.04418368475
394	0.04394414527
395	0.04373089075
396	0.04345030632
397	0.04328178374
398	0.04305390638
399	0.04273771022
400	0.04250965553
401	0.04231891216
402	0.04200532023
403	0.0418161356
404	0.04162965076
405	0.04148033312
406	0.04126542403
407	0.04109994302
408	0.04091289689
409	0.04075274063
410	0.0404786442
411	0.04037769463
412	0.04019149059
413	0.04010688968
414	0.04002078068
415	0.03982369031
416	0.03961989235
417	0.03945990736
418	0.03934267457
419	0.03919486731
420	0.03910107994
421	0.03886712863
422	0.03877424127
423	0.03859409351
424	0.03847514147
425	0.03834858887
426	0.03824168424
427	0.03806902794
428	0.03793196675
429	0.0377300839
430	0.0376547502
431	0.0374873018
432	0.03730815983
433	0.03705035981
434	0.03691185258
435	0.0368090074
436	0.03661203995
437	0.0364737494
438	0.03636780893
439	0.03616706099
440	0.0360495924
441	0.03588849851
442	0.03571306544
443	0.03553989104
444	0.0353778954
445	0.03523623873
446	0.03501444489
447	0.03488112945
448	0.03474741599
449	0.03461178852
450	0.03452081276
451	0.03443964163
452	0.0342534095
453	0.03416021692
454	0.03400492882
455	0.03382659292
456	0.03367159217
457	0.03349494748
458	0.03339377819
459	0.03328480162
460	0.03322161493
461	0.03306000545
462	0.03297758545
463	0.03281063585
464	0.03268247448
465	0.03259754345
466	0.03244977037
467	0.03230769201
468	0.03223053768
469	0.03213228355
470	0.03205041724
471	0.03195751083
472	0.03185334439
473	0.03174854174
474	0.03167458161
475	0.03153995469
476	0.03147861177
477	0.03133760359
478	0.03116425433
479	0.03098173788
480	0.03090749686
481	0.03084760532
482	0.03070226027
483	0.03061970132
484	0.03052850699
485	0.03046279146
486	0.03028940949
487	0.03015067268
488	0.03004909367
489	0.02991176747
490	0.02981960283
491	0.0297302644
492	0.02964030893
493	0.02946675098
494	0.02936227634
495	0.0292397575
496	0.0291563131
497	0.02908318896
498	0.0290295534
499	0.02888868499
